user_id,app,task_id,task_name,completion_time_sec,success,errors_count,help_requests,notes,observer_id,order
U01,Deliveroo,T01,Ricerca ristorante,50,true,0,0,demo inventato,OBS2,1
U01,Deliveroo,T02,Aggiunta prodotto al carrello,96,true,0,0,demo inventato,OBS2,1
U01,Deliveroo,T03,Modifica carrello,67,true,1,1,demo inventato,OBS2,1
U01,Deliveroo,T04,Checkout,98,true,0,0,demo inventato,OBS2,1
U01,Deliveroo,T05,Tracking ordine,69,true,0,0,demo inventato,OBS2,1
U01,Glovo,T01,Ricerca ristorante,59,true,0,0,demo inventato,OBS2,2
U01,Glovo,T02,Aggiunta prodotto al carrello,105,true,1,0,demo inventato,OBS2,2
U01,Glovo,T03,Modifica carrello,76,true,0,0,demo inventato,OBS2,2
U01,Glovo,T04,Checkout,107,true,0,0,demo inventato,OBS2,2
U01,Glovo,T05,Tracking ordine,78,true,0,0,demo inventato,OBS2,2
U02,Deliveroo,T01,Ricerca ristorante,54,true,0,0,demo inventato,OBS3,1
U02,Deliveroo,T02,Aggiunta prodotto al carrello,100,true,1,0,demo inventato,OBS3,1
U02,Deliveroo,T03,Modifica carrello,71,true,0,0,demo inventato,OBS3,1
U02,Deliveroo,T04,Checkout,102,true,0,0,demo inventato,OBS3,1
U02,Deliveroo,T05,Tracking ordine,73,true,0,0,demo inventato,OBS3,1
U02,Glovo,T01,Ricerca ristorante,63,true,1,0,demo inventato,OBS3,2
U02,Glovo,T02,Aggiunta prodotto al carrello,109,true,0,0,demo inventato,OBS3,2
U02,Glovo,T03,Modifica carrello,80,true,0,0,demo inventato,OBS3,2
U02,Glovo,T04,Checkout,111,true,0,0,demo inventato,OBS3,2
U02,Glovo,T05,Tracking ordine,82,true,1,0,demo inventato,OBS3,2
U03,Deliveroo,T01,Ricerca ristorante,58,true,1,0,demo inventato,OBS1,1
U03,Deliveroo,T02,Aggiunta prodotto al carrello,104,true,0,0,demo inventato,OBS1,1
U03,Deliveroo,T03,Modifica carrello,75,true,0,0,demo inventato,OBS1,1
U03,Deliveroo,T04,Checkout,106,true,0,0,demo inventato,OBS1,1
U03,Deliveroo,T05,Tracking ordine,77,true,1,0,demo inventato,OBS1,1
U03,Glovo,T01,Ricerca ristorante,67,true,0,0,demo inventato,OBS1,2
U03,Glovo,T02,Aggiunta prodotto al carrello,113,true,0,0,demo inventato,OBS1,2
U03,Glovo,T03,Modifica carrello,84,true,0,0,demo inventato,OBS1,2
U03,Glovo,T04,Checkout,115,true,1,1,demo inventato,OBS1,2
U03,Glovo,T05,Tracking ordine,86,true,0,0,demo inventato,OBS1,2
U04,Deliveroo,T01,Ricerca ristorante,46,true,0,0,demo inventato,OBS2,1
U04,Deliveroo,T02,Aggiunta prodotto al carrello,92,true,0,0,demo inventato,OBS2,1
U04,Deliveroo,T03,Modifica carrello,63,true,0,0,demo inventato,OBS2,1
U04,Deliveroo,T04,Checkout,94,true,1,1,demo inventato,OBS2,1
U04,Deliveroo,T05,Tracking ordine,65,true,0,0,demo inventato,OBS2,1
U04,Glovo,T01,Ricerca ristorante,55,true,0,0,demo inventato,OBS2,2
U04,Glovo,T02,Aggiunta prodotto al carrello,101,true,0,0,demo inventato,OBS2,2
U04,Glovo,T03,Modifica carrello,72,true,1,1,demo inventato,OBS2,2
U04,Glovo,T04,Checkout,103,true,0,0,demo inventato,OBS2,2
U04,Glovo,T05,Tracking ordine,74,true,0,0,demo inventato,OBS2,2
U05,Deliveroo,T01,Ricerca ristorante,50,true,0,0,demo inventato,OBS3,1
